INFO  | 2021-06-29 12:36:06 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:36:06 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:36:06 - отправлен результат
INFO  | 2021-06-29 12:36:19 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:36:19 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:36:19 - отправлен результат
INFO  | 2021-06-29 12:36:51 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:36:51 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:36:51 - отправлен результат
INFO  | 2021-06-29 12:37:11 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:37:11 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:37:11 - отправлен результат
INFO  | 2021-06-29 12:37:36 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:37:36 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:37:36 - отправлен результат
INFO  | 2021-06-29 12:37:51 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:37:51 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:37:51 - отправлен результат
INFO  | 2021-06-29 12:39:47 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:39:47 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:39:47 - отправлен результат
INFO  | 2021-06-29 12:40:04 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:40:04 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:40:04 - отправлен результат
INFO  | 2021-06-29 12:40:22 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:40:22 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:40:22 - отправлен результат
INFO  | 2021-06-29 12:40:25 - принят клиент с ip: /192.168.5.1
INFO  | 2021-06-29 12:40:25 - сервер выполнил или отверг комнаду
INFO  | 2021-06-29 12:40:25 - отправлен результат
INFO  | 2021-06-29 12:42:17 - принят клиент с ip: /192.168.5.1
